,E06000001,E06000002,E06000003,E06000004,E06000005,E06000006,E06000007,E06000008,E06000009,E06000010,E06000011,E06000012,E06000013,E06000014,E06000015,E06000016,E06000017,E06000018,E06000019,E06000020,E06000021,E06000022,E06000023,E06000024,E06000025,E06000026,E06000027,E06000030,E06000031,E06000032,E06000033,E06000034,E06000035,E06000036,E06000037,E06000038,E06000039,E06000040,E06000041,E06000042,E06000043,E06000044,E06000045,E06000046,E06000047,E06000049,E06000050,E06000051,E06000052,E06000053,E06000054,E06000055,E06000056,E06000057,E06000058,E06000059,E06000060,E06000061,E06000062,E07000008,E07000009,E07000010,E07000011,E07000012,E07000026,E07000027,E07000028,E07000029,E07000030,E07000031,E07000032,E07000033,E07000034,E07000035,E07000036,E07000037,E07000038,E07000039,E07000040,E07000041,E07000042,E07000043,E07000044,E07000045,E07000046,E07000047,E07000061,E07000062,E07000063,E07000064,E07000065,E07000066,E07000067,E07000068,E07000069,E07000070,E07000071,E07000072,E07000073,E07000074,E07000075,E07000076,E07000077,E07000078,E07000079,E07000080,E07000081,E07000082,E07000083,E07000084,E07000085,E07000086,E07000087,E07000088,E07000089,E07000090,E07000091,E07000092,E07000093,E07000094,E07000095,E07000096,E07000098,E07000099,E07000102,E07000103,E07000105,E07000106,E07000107,E07000108,E07000109,E07000110,E07000111,E07000112,E07000113,E07000114,E07000115,E07000116,E07000117,E07000118,E07000119,E07000120,E07000121,E07000122,E07000123,E07000124,E07000125,E07000126,E07000127,E07000128,E07000129,E07000130,E07000131,E07000132,E07000133,E07000134,E07000135,E07000136,E07000137,E07000138,E07000139,E07000140,E07000141,E07000142,E07000143,E07000144,E07000145,E07000146,E07000147,E07000148,E07000149,E07000163,E07000164,E07000165,E07000166,E07000167,E07000168,E07000169,E07000170,E07000171,E07000172,E07000173,E07000174,E07000175,E07000176,E07000177,E07000178,E07000179,E07000180,E07000181,E07000187,E07000188,E07000189,E07000192,E07000193,E07000194,E07000195,E07000196,E07000197,E07000198,E07000199,E07000200,E07000202,E07000203,E07000207,E07000208,E07000209,E07000210,E07000211,E07000212,E07000213,E07000214,E07000215,E07000216,E07000217,E07000218,E07000219,E07000220,E07000221,E07000222,E07000223,E07000224,E07000225,E07000226,E07000227,E07000228,E07000229,E07000234,E07000235,E07000236,E07000237,E07000238,E07000239,E07000240,E07000241,E07000242,E07000243,E07000244,E07000245,E07000246,E08000001,E08000002,E08000003,E08000004,E08000005,E08000006,E08000007,E08000008,E08000009,E08000010,E08000011,E08000012,E08000013,E08000014,E08000015,E08000016,E08000017,E08000018,E08000019,E08000021,E08000022,E08000023,E08000024,E08000025,E08000026,E08000027,E08000028,E08000029,E08000030,E08000031,E08000032,E08000033,E08000034,E08000035,E08000036,E08000037,E09000001,E09000002,E09000003,E09000004,E09000005,E09000006,E09000007,E09000008,E09000009,E09000010,E09000011,E09000012,E09000013,E09000014,E09000015,E09000016,E09000017,E09000018,E09000019,E09000020,E09000021,E09000022,E09000023,E09000024,E09000025,E09000026,E09000027,E09000028,E09000029,E09000030,E09000031,E09000032,E09000033,S12000005,S12000006,S12000008,S12000010,S12000011,S12000013,S12000014,S12000017,S12000018,S12000019,S12000020,S12000021,S12000023,S12000026,S12000027,S12000028,S12000029,S12000030,S12000033,S12000034,S12000035,S12000036,S12000038,S12000039,S12000040,S12000041,S12000042,S12000045,S12000047,S12000048,S12000049,S12000050,W06000001,W06000002,W06000003,W06000004,W06000005,W06000006,W06000008,W06000009,W06000010,W06000011,W06000012,W06000013,W06000014,W06000015,W06000016,W06000018,W06000019,W06000020,W06000021,W06000022,W06000023,W06000024
E06000001,26317,1500,671,4240,398,0,2,4,0,3,11,3,11,23,4,0,1,3,0,0,3,4,0,0,0,14,0,0,3,4,0,1,5,4,2,2,0,0,0,1,2,7,0,0,1950,3,5,3,7,0,13,4,2,55,0,3,0,4,1,3,0,1,3,0,1,20,2,12,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0,0,0,1,0,0,0,0,0,0,2,1,0,5,2,5,0,1,0,1,6,0,3,0,0,4,3,0,0,3,0,0,0,0,2,0,1,0,0,1,1,3,1,4,0,0,0,1,0,0,2,1,2,0,0,0,1,0,1,4,1,7,0,2,3,0,1,0,6,0,0,0,2,134,22,51,7,24,5,1,1,1,0,4,1,1,2,0,1,4,6,0,6,2,0,3,3,0,0,4,0,4,0,0,0,2,1,2,0,0,1,0,3,0,1,2,6,0,2,0,1,0,0,1,2,0,5,0,0,4,0,0,0,2,4,4,0,2,9,5,9,0,0,9,1,1,2,0,0,3,4,0,2,0,1,0,1,5,6,1,181,54,79,736,16,2,1,3,0,1,0,7,2,5,29,9,111,5,0,1,2,0,8,4,0,4,1,4,0,4,2,0,0,7,1,0,1,1,0,0,0,1,0,0,2,1,0,2,2,8,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,2,0,11,2,11,2,4,0,0,1,1,0,1,1,7,1,1,3,1,0,0,1,0,4,0,0,1,0,3,0,0,0,1,0,0,2,3,0
E06000002,770,37147,4536,7715,1219,0,7,5,5,2,18,5,17,41,2,1,1,4,1,5,2,0,3,1,0,14,1,0,2,1,0,0,2,0,4,2,2,3,0,6,1,5,1,0,757,1,9,2,2,0,21,1,1,23,3,5,15,5,8,1,0,0,1,1,6,38,6,10,2,1,0,1,6,1,3,1,0,0,2,0,0,2,3,0,0,0,0,0,1,3,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,1,4,11,0,8,1,1,2,0,0,0,0,2,2,0,0,2,0,0,1,0,3,2,0,0,0,0,0,2,0,4,0,4,2,0,2,3,1,0,7,1,1,0,4,0,0,6,1,7,0,2,2,0,2,0,5,0,3,1,1,1403,133,134,65,136,8,3,2,1,2,1,0,2,3,0,3,2,7,0,5,2,2,3,2,0,0,0,3,3,0,0,4,3,0,3,0,2,0,0,0,0,0,0,3,0,5,1,6,0,3,0,3,2,0,0,1,0,3,0,0,0,12,2,1,2,3,2,37,2,1,13,0,2,3,0,0,4,1,3,5,1,2,0,3,6,2,16,117,38,46,190,18,6,0,7,2,3,0,20,0,3,68,22,75,14,1,4,3,4,2,9,1,6,1,3,1,1,0,0,1,9,1,0,1,0,1,0,0,3,2,1,5,0,2,2,2,10,0,2,0,1,0,0,2,0,0,1,4,1,0,0,0,0,1,0,11,1,18,5,3,2,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,9,0,0,2,0,2,2,0,0,0,0,0,0,0,0
E06000003,608,8451,35959,4466,707,0,4,0,3,3,21,5,21,71,12,5,2,3,3,0,1,4,2,2,3,10,0,3,2,3,0,2,1,2,3,1,1,8,3,4,0,6,0,0,450,1,4,7,4,0,36,5,0,23,2,6,6,5,3,5,0,0,3,1,4,10,7,8,1,5,3,0,3,1,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,3,3,1,1,0,2,0,4,2,2,0,1,1,0,1,0,0,9,7,5,0,3,2,3,6,0,4,0,0,3,0,0,0,5,0,0,1,0,4,1,1,0,1,0,1,2,1,4,1,7,0,0,1,4,0,0,0,2,5,0,1,0,0,16,1,14,0,0,8,0,0,1,4,0,1,0,6,1128,124,96,179,832,12,3,3,1,1,0,0,4,2,2,2,5,6,0,0,6,2,2,3,1,1,4,0,0,0,0,3,0,0,6,0,0,0,1,1,0,0,0,1,0,4,0,1,0,0,0,0,1,0,0,0,0,2,0,0,3,6,5,1,0,2,5,14,1,1,5,0,0,4,1,0,2,1,1,3,0,6,0,11,22,9,3,87,21,23,158,23,1,1,10,0,6,1,20,2,8,77,37,55,7,0,2,3,0,3,10,1,0,1,3,0,0,0,0,5,10,3,1,4,0,0,0,0,3,4,1,3,0,4,0,0,9,1,1,0,2,0,0,6,3,0,1,2,0,0,0,3,0,1,0,20,2,14,1,1,2,2,1,0,0,1,0,8,2,0,0,0,0,4,0,0,15,0,1,0,0,8,3,0,0,0,0,0,0,0,0
E06000004,2199,8554,2792,61470,3183,4,3,6,2,5,27,8,11,111,6,2,7,4,2,0,3,1,7,1,1,10,1,1,14,3,2,1,2,1,8,5,1,5,4,4,1,12,0,0,2264,4,20,9,8,0,35,3,3,74,6,11,13,1,7,3,0,0,4,1,7,25,5,22,2,5,5,0,1,0,2,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,4,1,0,0,1,7,0,0,0,0,0,3,1,1,0,1,4,2,0,1,2,10,9,4,0,14,6,1,3,2,3,2,2,3,2,1,0,4,1,0,0,0,0,2,1,0,1,1,0,3,0,6,0,5,1,3,1,1,3,2,3,2,0,0,4,0,0,7,3,10,0,1,3,2,0,2,8,0,1,0,5,1512,166,283,33,67,8,0,0,2,0,1,1,0,2,1,2,4,16,0,2,6,2,1,5,0,0,4,1,4,1,0,0,0,1,5,1,1,1,3,0,0,0,0,7,1,5,2,2,2,1,2,6,3,1,0,1,2,0,0,2,0,12,0,1,2,4,8,16,4,5,10,0,1,3,3,0,5,7,2,6,0,1,1,10,23,3,18,258,113,107,564,29,5,1,1,7,0,0,19,6,8,130,33,218,1,0,0,1,3,0,11,0,2,2,2,1,1,4,0,1,11,3,9,0,0,15,2,1,1,3,5,7,1,4,0,6,16,0,1,0,0,0,0,7,3,0,0,2,4,1,0,7,0,1,0,15,4,21,8,0,1,0,0,2,0,11,0,6,3,0,2,4,3,3,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0
E06000005,261,1092,356,2398,37032,1,5,6,0,0,14,2,4,84,1,0,5,1,1,0,0,1,2,0,4,5,0,0,3,1,0,1,2,1,4,0,1,2,0,1,1,8,0,0,3807,2,4,5,3,0,20,0,3,42,2,8,8,1,3,0,0,1,2,2,4,8,4,4,10,2,0,0,0,0,0,2,0,0,2,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,2,0,1,1,0,0,2,0,0,0,6,7,4,0,0,12,0,2,1,0,1,0,1,1,0,0,2,0,0,0,0,2,0,1,1,0,1,0,1,0,1,1,5,1,1,2,1,3,0,2,0,0,1,1,0,0,2,2,6,0,1,4,0,1,1,6,0,1,0,6,1344,181,1129,6,10,11,0,6,1,0,0,0,3,6,0,3,1,13,3,3,2,0,0,1,0,0,4,2,0,0,0,5,0,0,6,1,0,1,0,1,2,0,0,4,1,1,2,1,0,0,0,1,0,3,0,4,0,0,1,0,0,6,3,2,0,0,6,3,4,2,7,7,1,5,1,2,3,3,0,1,1,0,4,4,5,4,11,160,38,55,207,13,5,3,4,0,3,0,8,0,2,67,15,122,1,1,1,3,0,3,4,2,3,0,0,0,2,0,0,1,2,0,1,1,0,2,0,0,1,0,1,2,0,2,0,0,8,0,1,0,0,0,0,1,0,1,2,7,0,0,1,1,2,0,1,4,1,8,18,3,0,0,4,1,0,0,0,4,4,0,0,1,0,0,2,0,3,1,0,0,0,1,1,0,0,0,0,1,0,0,0
E06000006,0,0,0,0,0,40681,4879,31,8,1,0,1,2,2,1,2,0,3,5,6,26,1,1,5,1,2,0,0,2,3,0,3,0,0,5,0,1,2,2,1,2,5,0,0,3,402,2799,30,11,0,9,2,1,2,3,8,3,4,8,0,1,0,0,0,1,6,0,5,2,6,0,1,2,1,0,10,0,0,3,1,0,5,2,0,0,0,0,0,3,0,0,1,0,1,0,0,2,0,2,0,0,0,3,0,0,1,0,1,0,0,1,0,8,2,0,0,4,4,0,1,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,1,2,2,19,14,12,8,3,21,10,3,37,113,6,1,1,0,1,0,3,3,0,0,0,4,0,1,1,1,0,0,5,1,0,0,3,2,2,8,0,0,0,0,2,0,0,1,0,0,2,1,3,2,3,0,5,0,0,1,1,9,4,10,2,1,0,1,3,0,0,5,0,0,0,0,0,0,0,1,5,2,5,1,1,1,0,0,2,3,0,0,4,0,5,0,0,1,7,5,0,1,2,3,25,76,30,507,25,33,230,111,25,302,244,1913,3074,1104,311,368,0,0,6,5,2,2,0,0,23,1,6,8,6,3,6,10,4,6,18,6,0,17,0,0,2,1,1,8,2,0,2,1,5,1,0,1,0,3,4,0,0,0,0,0,2,1,0,0,1,3,2,2,4,7,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,1,7,5,5,12,382,75,1,4,2,4,1,0,1,0,0,0,1,0,0,0,1,0
E06000007,0,0,1,4,1,3427,80672,101,16,3,8,1,0,4,1,2,2,4,3,6,54,1,6,2,3,5,0,0,1,20,0,3,0,0,9,0,3,4,3,4,1,3,0,0,1,1326,1893,26,9,0,26,0,4,3,9,3,9,1,15,0,0,0,2,0,4,7,6,11,0,6,2,2,2,5,2,7,0,2,3,2,3,3,1,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,2,0,0,0,0,0,4,0,0,3,2,2,0,2,4,3,4,0,6,4,3,2,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,1,0,16,91,32,15,23,13,108,23,24,100,282,5,1,4,0,3,0,6,0,0,6,6,5,0,2,2,2,1,0,1,0,1,0,11,7,1,7,0,0,1,2,1,1,0,0,2,0,1,1,0,8,11,0,3,5,2,4,5,18,1,13,2,1,0,0,5,2,0,4,1,0,1,0,4,0,0,0,6,4,8,1,5,0,0,0,3,3,0,0,4,1,3,0,1,0,13,3,0,1,2,2,13,400,145,2233,105,104,1264,491,123,1981,1395,980,1746,1891,289,256,2,8,6,14,0,0,0,2,25,2,11,13,8,6,0,14,19,15,45,11,1,16,0,2,0,3,2,8,5,2,0,1,3,3,1,1,3,14,5,1,2,3,3,0,2,2,0,3,6,4,4,2,0,13,0,2,0,1,0,0,2,1,0,0,2,0,0,0,4,0,0,1,2,1,8,1,2,0,0,2,0,0,2,1,4,0,6,1,8,20,220,61,0,0,0,1,0,0,0,1,1,0,1,0,0,1,2,0
E06000008,0,1,0,3,3,6,101,47106,231,1,6,0,1,10,1,5,3,3,3,2,4,0,0,0,0,2,0,0,1,0,0,0,2,4,0,1,2,1,0,6,1,7,1,1,1,32,19,2,1,0,7,0,0,3,2,4,5,1,6,2,1,0,2,0,3,13,5,6,5,26,0,0,0,2,0,10,1,1,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,2,0,1,0,0,0,0,0,3,2,0,0,2,6,0,4,0,0,0,0,2,0,2,1,0,0,0,0,0,0,3,0,1,0,1436,691,156,2959,138,625,1793,1723,660,1293,90,98,0,0,0,0,0,4,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,39,4,17,7,2,0,0,0,1,1,0,5,1,0,4,0,2,1,6,2,1,9,0,1,1,1,0,1,0,3,0,0,1,0,0,7,0,1,0,0,1,1,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,12,4,2,0,0,0,8,1397,487,430,116,234,239,59,57,142,208,22,55,37,47,3,5,4,4,3,2,0,0,4,13,3,3,6,2,0,1,60,25,18,30,13,1,10,0,0,0,5,5,6,3,1,0,0,2,0,0,0,3,11,3,5,3,2,1,0,0,1,2,0,0,0,3,1,2,4,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,3,0,0,4,10,1,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000009,0,3,0,1,3,10,31,120,45581,2,5,1,0,5,0,1,4,1,1,3,1,0,0,0,3,2,1,1,2,0,1,0,2,2,2,1,0,0,0,2,1,5,1,2,5,15,41,10,7,0,17,0,4,5,2,5,5,3,3,1,0,0,1,2,1,23,10,4,7,57,0,0,0,0,2,3,0,0,3,0,0,5,4,0,0,0,0,0,0,0,0,2,2,0,0,0,6,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,6,1,10,0,3,1,0,4,1,2,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,26,128,5615,34,407,15,1115,130,10,392,46,4231,0,3,0,0,0,0,0,0,7,0,5,1,0,2,0,0,0,3,0,0,0,14,7,9,21,0,1,0,0,0,0,0,1,1,0,2,0,1,2,20,0,1,0,0,1,0,2,0,4,5,1,0,0,3,0,0,16,1,0,0,0,0,0,0,0,1,0,5,1,3,1,2,2,0,0,1,0,0,0,4,1,1,0,6,6,0,0,8,0,3,113,15,101,13,14,36,17,16,32,47,12,62,12,31,11,0,0,2,1,1,1,1,0,17,1,4,6,3,2,5,10,1,4,19,2,1,3,0,1,0,0,1,2,1,2,1,1,1,2,0,0,0,5,0,4,0,0,5,0,0,1,0,0,1,0,2,0,0,3,0,2,0,0,0,0,1,0,1,0,1,3,0,0,0,1,1,1,2,3,4,5,0,0,0,0,0,1,3,0,2,0,2,1,0,3,8,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E06000010,1,6,4,9,1,2,5,18,3,91658,18706,870,2598,283,8,6,5,19,2,4,1,7,3,3,1,14,3,1,9,5,0,2,0,0,3,1,0,10,9,14,1,20,0,4,7,8,8,11,9,0,25,3,3,5,6,11,5,12,6,0,1,2,8,19,1,20,1,3,0,3,1,0,4,2,1,1,4,0,4,1,2,3,0,1,1,0,1,0,0,1,0,3,0,0,0,5,9,0,4,0,0,1,1,0,1,0,7,2,1,3,1,1,15,4,6,0,2,2,0,7,4,3,0,3,5,2,5,0,2,5,0,2,3,1,4,0,0,0,4,0,3,3,10,2,7,9,4,7,3,0,3,3,2,3,0,16,2,1,45,46,19,3,5,57,8,10,0,8,2,4,2,2,22,28,45,596,102,178,2,20,6,0,6,5,6,1,4,1,3,9,2,2,9,0,2,3,1,0,2,3,2,2,3,4,1,0,3,0,3,4,2,2,1,0,2,9,1,4,2,3,0,4,0,2,0,3,0,1,2,1,4,3,0,11,8,1,2,8,10,15,4,7,11,3,5,6,5,6,3,3,1,17,0,0,11,15,176,19,41,4,3,0,5,25,6,1,6,9,0,2,32,21,22,199,153,4,4,0,5,0,5,1,8,0,1,2,1,3,3,0,2,1,8,2,4,5,0,7,3,0,4,0,3,6,5,6,4,4,7,0,1,0,0,0,0,1,0,0,0,2,1,3,2,2,0,0,1,19,1,13,6,5,0,2,0,0,0,5,0,7,0,2,2,0,0,5,1,0,0,1,1,0,0,0,7,0,1,1,1,0,0,10,0
